
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '76.59912', 'CMB': 'N', 'VNODE': '52', 'MSG': 'DATA', 'RNODE': '48', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.456', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.44', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '04:15:08 PM', 'LAT': '84.83946', 'ALT': '12.', 'INDI': 'N', 'LCLR': 'N'}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '23.17394', 'CMB': 'N', 'VNODE': '62', 'MSG': 'DATA', 'RNODE': '38', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.45', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.448', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '04:50:38 PM', 'LAT': '78.60788', 'ALT': '854', 'INDI': 'N', 'LCLR': 'N'}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '69.46446', 'CMB': 'N', 'VNODE': '52', 'MSG': 'DATA', 'RNODE': '48', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.428', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.46', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '04:50:45 PM', 'LAT': '1.267322', 'ALT': '94.', 'INDI': 'N', 'LCLR': 'N'}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '93.76148', 'CMB': 'N', 'VNODE': '11', 'MSG': 'DATA', 'RNODE': '89', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.458', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.452', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '04:55:33 PM', 'LAT': '39.82923', 'ALT': '543', 'INDI': 'N', 'LCLR': 'N'}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '154.7946', 'CMB': 'N', 'VNODE': '23', 'MSG': 'DATA', 'RNODE': '77', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.457', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.451', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '04:55:39 PM', 'LAT': '17.31867', 'ALT': '64.', 'INDI': 'N', 'LCLR': 'N'}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '120.4604', 'CMB': 'N', 'VNODE': '57', 'MSG': 'DATA', 'RNODE': '43', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.45', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.442', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '04:55:48 PM', 'LAT': '3.813615', 'ALT': '952', 'INDI': 'N', 'LCLR': 'N'}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '12.34665', 'CMB': 'N', 'VNODE': '91', 'MSG': 'DATA', 'RNODE': '9', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.46', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.452', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '04:55:56 PM', 'LAT': '38.45395', 'ALT': '37.', 'INDI': 'N', 'LCLR': 'N'}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '132.5171', 'CMB': 'N', 'VNODE': '21', 'MSG': 'DATA', 'RNODE': '79', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.434', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.46', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '04:56:08 PM', 'LAT': '40.21215', 'ALT': '504', 'INDI': 'N', 'LCLR': 'N'}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '92.48977', 'CMB': 'N', 'VNODE': '38', 'MSG': 'DATA', 'RNODE': '62', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.433', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.454', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '04:56:15 PM', 'LAT': '20.49942', 'ALT': '547', 'INDI': 'N', 'LCLR': 'N'}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '0.181980', 'CMB': 'N', 'VNODE': '39', 'MSG': 'DATA', 'RNODE': '61', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.457', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.444', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '04:59:08 PM', 'LAT': '43.26226', 'ALT': '652', 'INDI': 'N', 'LCLR': 'N'}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '47.36899', 'CMB': 'N', 'VNODE': '14', 'MSG': 'DATA', 'RNODE': '86', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.452', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.439', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '06:50:16 PM', 'LAT': '79.83887', 'ALT': '709', 'INDI': 'N', 'LCLR': 'N'}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '82.34913', 'CMB': 'N', 'VNODE': '94', 'MSG': 'DATA', 'RNODE': '6', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.418', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.452', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '06:50:22 PM', 'LAT': '45.78920', 'ALT': '217', 'INDI': 'N', 'LCLR': 'N'}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '57.97858', 'CMB': 'N', 'VNODE': '52', 'MSG': 'DATA', 'RNODE': '48', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.456', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.442', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '06:50:27 PM', 'LAT': '73.65388', 'ALT': '928', 'INDI': 'N', 'LCLR': 'N'}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '80.04367', 'CMB': 'N', 'VNODE': '89', 'MSG': 'DATA', 'RNODE': '11', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.446', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.431', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '06:50:33 PM', 'LAT': '4.470158', 'ALT': '376', 'INDI': 'N', 'LCLR': 'N'}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '168.6980', 'CMB': 'N', 'VNODE': '59', 'MSG': 'DATA', 'RNODE': '41', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.448', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.454', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '06:50:40 PM', 'LAT': '58.06705', 'ALT': '610', 'INDI': 'N', 'LCLR': 'N'}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '105.1790', 'CMB': 'N', 'VNODE': '54', 'MSG': 'DATA', 'RNODE': '46', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.446', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.44', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '06:53:20 PM', 'LAT': '55.31193', 'ALT': '617', 'INDI': 'N', 'LCLR': 'N'}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '145.3356', 'CMB': 'N', 'VNODE': '78', 'MSG': 'DATA', 'RNODE': '22', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.458', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.44', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '06:53:33 PM', 'LAT': '24.16421', 'ALT': '193', 'INDI': 'N', 'LCLR': 'N'}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '0.202428', 'CMB': 'N', 'VNODE': '12', 'MSG': 'DATA', 'RNODE': '88', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.445', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.463', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '06:57:30 PM', 'LAT': '16.22248', 'ALT': '146', 'INDI': 'N', 'LCLR': 'N'}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '12.63541', 'CMB': 'N', 'VNODE': '39', 'MSG': 'DATA', 'RNODE': '61', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.454', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.445', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '06:57:49 PM', 'LAT': '0.073169', 'ALT': '29.', 'INDI': 'N', 'LCLR': 'N'}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '119.6287', 'CMB': 'N', 'VNODE': '2', 'MSG': 'DATA', 'RNODE': '98', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.452', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.44', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '06:58:14 PM', 'LAT': '41.04572', 'ALT': '127', 'INDI': 'N', 'LCLR': 'N'}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '105.4606', 'CMB': 'N', 'VNODE': '8', 'MSG': 'DATA', 'RNODE': '92', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.448', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.456', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '06:58:18 PM', 'LAT': '74.42783', 'ALT': '384', 'INDI': 'N', 'LCLR': 'N'}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '117.8564', 'CMB': 'N', 'VNODE': '7', 'MSG': 'DATA', 'RNODE': '93', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.431', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.451', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '06:58:22 PM', 'LAT': '73.67547', 'ALT': '681', 'INDI': 'N', 'LCLR': 'N'}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '38.55857', 'CMB': 'N', 'VNODE': '56', 'MSG': 'DATA', 'RNODE': '44', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.442', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.439', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '06:58:26 PM', 'LAT': '82.37959', 'ALT': '428', 'INDI': 'N', 'LCLR': 'N'}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '91.68353', 'CMB': 'N', 'VNODE': '3', 'MSG': 'DATA', 'RNODE': '97', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.44', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.445', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '07:01:52 PM', 'LAT': '37.56170', 'ALT': '566', 'INDI': 'N', 'LCLR': 'N'}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '24.44141', 'CMB': 'N', 'VNODE': '3', 'MSG': 'DATA', 'RNODE': '97', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.452', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.466', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '07:01:59 PM', 'LAT': '82.95785', 'ALT': '23.', 'INDI': 'N', 'LCLR': 'N'}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '91.67914', 'CMB': 'N', 'VNODE': '67', 'MSG': 'DATA', 'RNODE': '33', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.469', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.445', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '07:02:11 PM', 'LAT': '43.13880', 'ALT': '55.', 'INDI': 'N', 'LCLR': 'N'}
