
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '36.20265', 'CMB': 'N', 'VNODE': '45', 'MSG': 'DATA', 'RNODE': '55', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:38:07 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '35.33478', 'ALT': '917', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '160.8829', 'CMB': 'N', 'VNODE': '96', 'MSG': 'DATA', 'RNODE': '4', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:44:01 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '17.30193', 'ALT': '82.', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '137.8013', 'CMB': 'N', 'VNODE': '64', 'MSG': 'DATA', 'RNODE': '36', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:44:04 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '82.40818', 'ALT': '540', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'F', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '26.35261', 'CMB': 'N', 'VNODE': '73', 'MSG': 'DATA', 'RNODE': '27', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:44:13 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '78.06378', 'ALT': '334', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '163.6259', 'CMB': 'N', 'VNODE': '93', 'MSG': 'DATA', 'RNODE': '7', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:44:25 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '69.75940', 'ALT': '487', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '97.83302', 'CMB': 'N', 'VNODE': '99', 'MSG': 'DATA', 'RNODE': '1', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:44:34 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '84.27672', 'ALT': '184', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '90.57300', 'CMB': 'N', 'VNODE': '52', 'MSG': 'DATA', 'RNODE': '48', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:44:45 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '78.88897', 'ALT': '877', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'F', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '172.4920', 'CMB': 'N', 'VNODE': '94', 'MSG': 'DATA', 'RNODE': '6', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:44:52 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '63.98028', 'ALT': '669', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '164.4460', 'CMB': 'N', 'VNODE': '76', 'MSG': 'DATA', 'RNODE': '24', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'R', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:45:02 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '64.35935', 'ALT': '471', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '142.1084', 'CMB': 'N', 'VNODE': '9', 'MSG': 'DATA', 'RNODE': '91', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:45:09 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '70.14085', 'ALT': '525', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '166.7571', 'CMB': 'N', 'VNODE': '10', 'MSG': 'DATA', 'RNODE': '90', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:45:21 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '80.40913', 'ALT': '212', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '115.7592', 'CMB': 'N', 'VNODE': '16', 'MSG': 'DATA', 'RNODE': '84', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:45:27 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '56.39155', 'ALT': '825', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '20.', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '63.35256', 'CMB': 'N', 'VNODE': '37', 'MSG': 'DATA', 'RNODE': '63', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:45:45 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '12.74517', 'ALT': '523', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '20.', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '27.84537', 'CMB': 'N', 'VNODE': '25', 'MSG': 'DATA', 'RNODE': '75', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:45:46 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '44.42316', 'ALT': '103', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '140.7015', 'CMB': 'N', 'VNODE': '34', 'MSG': 'DATA', 'RNODE': '66', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:45:52 AM', 'BEAR': '66.', 'VOL': 'E', 'LMO': 'N', 'LAT': '2.817904', 'ALT': '241', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '166.9753', 'CMB': 'N', 'VNODE': '73', 'MSG': 'DATA', 'RNODE': '27', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:46:01 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '73.69341', 'ALT': '623', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '160.7949', 'CMB': 'N', 'VNODE': '69', 'MSG': 'DATA', 'RNODE': '31', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:46:27 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '67.32955', 'ALT': '78.', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '53.92846', 'CMB': 'N', 'VNODE': '95', 'MSG': 'DATA', 'RNODE': '5', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:47:23 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '69.04432', 'ALT': '487', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '169.6377', 'CMB': 'N', 'VNODE': '76', 'MSG': 'DATA', 'RNODE': '24', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:47:47 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '57.09322', 'ALT': '248', 'INDI': 'N', 'LCLR': '2'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '74.46854', 'CMB': 'N', 'VNODE': '2', 'MSG': 'DATA', 'RNODE': '98', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:47:59 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '81.17256', 'ALT': '363', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '156.7309', 'CMB': 'N', 'VNODE': '70', 'MSG': 'DATA', 'RNODE': '30', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:48:01 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '46.49111', 'ALT': '611', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'F', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '10.83054', 'CMB': 'N', 'VNODE': '34', 'MSG': 'DATA', 'RNODE': '66', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:48:06 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '27.01760', 'ALT': '14.', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'R', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '175.5232', 'CMB': 'M', 'VNODE': '34', 'MSG': 'DATA', 'RNODE': '66', 'DATE': '2017-Jan-16', 'BCLR': '2', 'HUM': '58.', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'O', 'FDIST': '80.0', 'TIME': '01:48:15 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'F', 'LAT': '88.56382', 'ALT': '754', 'INDI': '1', 'LCLR': 'N'}
{'CMO': 'R', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '48.07048', 'CMB': 'M', 'VNODE': '67', 'MSG': 'DATA', 'RNODE': '33', 'DATE': '2017-Jan-16', 'BCLR': '2', 'HUM': '75.', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'O', 'FDIST': '80.0', 'TIME': '01:48:15 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'F', 'LAT': '87.90194', 'ALT': '368', 'INDI': '1', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '136.0867', 'CMB': 'N', 'VNODE': '53', 'MSG': 'DATA', 'RNODE': '47', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:48:18 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '43.34264', 'ALT': '90.', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '150.8398', 'CMB': 'N', 'VNODE': '7', 'MSG': 'DATA', 'RNODE': '93', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:48:26 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '39.34612', 'ALT': '66.', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '2.477274', 'CMB': 'N', 'VNODE': '7', 'MSG': 'DATA', 'RNODE': '93', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:48:35 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '6.449922', 'ALT': '330', 'INDI': 'N', 'LCLR': 'N'}
