
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': 'N', 'CTRL': 'M', 'BATL': '00', 'LON': '68.89717', 'CMB': 'N', 'VNODE': '55', 'MSG': 'DATA', 'RNODE': '45', 'DATE': '2017-Apr-26', 'BCLR': 'N', 'HUM': '00', 'BDIST': u' \u221e ', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'C', 'FDIST': u' \u221e ', 'PITCH': 1, 'BEAR': 1, 'LMO': 'N', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'LCLR': 'N', 'TIME': '09:01:50 PM', 'LAT': '78.27002', 'ALT': '625', 'INDI': 'N', 'ROLL': 1}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': 'N', 'CTRL': 'M', 'BATL': '00', 'LON': '179.0899', 'CMB': 'N', 'VNODE': '98', 'MSG': 'DATA', 'RNODE': '2', 'DATE': '2017-Apr-26', 'BCLR': 'N', 'HUM': '00', 'BDIST': u' \u221e ', 'RCLR': 'N', 'RACC': 50.489999999999824, 'LLED': 'G', 'SPD': '00', 'RMO': 'F', 'LACC': 50.489999999999824, 'RLED': 'G', 'DOOR': 'C', 'FDIST': u' \u221e ', 'PITCH': 1, 'BEAR': 1, 'LMO': 'F', 'CACC': 0, 'FLED': 'G', 'BLED': 'Y', 'VOL': 'E', 'LCLR': 'N', 'TIME': '09:03:44 PM', 'LAT': '60.18078', 'ALT': '436', 'INDI': 'N', 'ROLL': 1}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '125.1570', 'CMB': 'N', 'VNODE': '43', 'MSG': 'DATA', 'RNODE': '57', 'DATE': '2017-Apr-26', 'BCLR': 'N', 'HUM': '00', 'BDIST': u' \u221e ', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'C', 'FDIST': '6.099', 'PITCH': 1, 'BEAR': 1, 'LMO': 'N', 'CACC': 0, 'FLED': 'G', 'BLED': 'Y', 'VOL': 'E', 'LCLR': 'N', 'TIME': '09:03:50 PM', 'LAT': '88.44283', 'ALT': '97.', 'INDI': 'N', 'ROLL': 1}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '109.2813', 'CMB': 'N', 'VNODE': '31', 'MSG': 'DATA', 'RNODE': '69', 'DATE': '2017-Apr-26', 'BCLR': 'N', 'HUM': '00', 'BDIST': u' \u221e ', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'C', 'FDIST': '3.432', 'PITCH': 1, 'BEAR': 1, 'LMO': 'N', 'CACC': 0, 'FLED': 'G', 'BLED': 'Y', 'VOL': 'E', 'LCLR': 'N', 'TIME': '09:03:56 PM', 'LAT': '67.19952', 'ALT': '379', 'INDI': 'N', 'ROLL': 1}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': 'N', 'CTRL': 'M', 'BATL': '00', 'LON': '17.89645', 'CMB': 'N', 'VNODE': '49', 'MSG': 'DATA', 'RNODE': '51', 'DATE': '2017-Apr-26', 'BCLR': 'N', 'HUM': '00', 'BDIST': u' \u221e ', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'C', 'FDIST': u' \u221e ', 'PITCH': 1, 'BEAR': 1, 'LMO': 'N', 'CACC': 0, 'FLED': 'G', 'BLED': 'Y', 'VOL': 'E', 'LCLR': 'N', 'TIME': '09:04:02 PM', 'LAT': '44.61768', 'ALT': '394', 'INDI': 'N', 'ROLL': 1}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': 'N', 'CTRL': 'M', 'BATL': '00', 'LON': '126.0373', 'CMB': 'N', 'VNODE': '11', 'MSG': 'DATA', 'RNODE': '89', 'DATE': '2017-Apr-26', 'BCLR': '1', 'HUM': '00', 'BDIST': '14.21', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'C', 'FDIST': u' \u221e ', 'PITCH': 1, 'BEAR': 1, 'LMO': 'N', 'CACC': 0, 'FLED': 'G', 'BLED': 'Y', 'VOL': 'E', 'LCLR': 'N', 'TIME': '09:04:08 PM', 'LAT': '87.91209', 'ALT': '931', 'INDI': 'N', 'ROLL': 1}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': 'N', 'CTRL': 'M', 'BATL': '00', 'LON': '76.29692', 'CMB': 'N', 'VNODE': '86', 'MSG': 'DATA', 'RNODE': '14', 'DATE': '2017-Apr-26', 'BCLR': 'N', 'HUM': '00', 'BDIST': u' \u221e ', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'C', 'FDIST': u' \u221e ', 'PITCH': 1, 'BEAR': 1, 'LMO': 'N', 'CACC': 0, 'FLED': 'G', 'BLED': 'Y', 'VOL': 'E', 'LCLR': 'N', 'TIME': '09:04:15 PM', 'LAT': '51.96834', 'ALT': '814', 'INDI': 'N', 'ROLL': 1}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': 'N', 'CTRL': 'M', 'BATL': '00', 'LON': '112.0703', 'CMB': 'N', 'VNODE': '22', 'MSG': 'DATA', 'RNODE': '78', 'DATE': '2017-Apr-26', 'BCLR': 'N', 'HUM': '00', 'BDIST': u' \u221e ', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'C', 'FDIST': u' \u221e ', 'PITCH': 1, 'BEAR': 1, 'LMO': 'N', 'CACC': 0, 'FLED': 'G', 'BLED': 'Y', 'VOL': 'E', 'LCLR': 'N', 'TIME': '09:04:20 PM', 'LAT': '88.25231', 'ALT': '973', 'INDI': 'N', 'ROLL': 1}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': 'N', 'CTRL': 'M', 'BATL': '00', 'LON': '149.8140', 'CMB': 'N', 'VNODE': '22', 'MSG': 'DATA', 'RNODE': '78', 'DATE': '2017-Apr-26', 'BCLR': 'N', 'HUM': '00', 'BDIST': u' \u221e ', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'C', 'FDIST': u' \u221e ', 'PITCH': 1, 'BEAR': 1, 'LMO': 'N', 'CACC': 0, 'FLED': 'G', 'BLED': 'Y', 'VOL': 'E', 'LCLR': 'N', 'TIME': '09:04:27 PM', 'LAT': '77.75138', 'ALT': '357', 'INDI': 'N', 'ROLL': 1}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': 'N', 'CTRL': 'M', 'BATL': '00', 'LON': '65.81079', 'CMB': 'N', 'VNODE': '71', 'MSG': 'DATA', 'RNODE': '29', 'DATE': '2017-Apr-26', 'BCLR': 'N', 'HUM': '00', 'BDIST': u' \u221e ', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'C', 'FDIST': u' \u221e ', 'PITCH': 1, 'BEAR': 1, 'LMO': 'N', 'CACC': 0, 'FLED': 'G', 'BLED': 'Y', 'VOL': 'E', 'LCLR': 'N', 'TIME': '09:04:34 PM', 'LAT': '78.02632', 'ALT': '645', 'INDI': 'N', 'ROLL': 1}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': 'N', 'CTRL': 'M', 'BATL': '00', 'LON': '16.82100', 'CMB': 'N', 'VNODE': '15', 'MSG': 'DATA', 'RNODE': '85', 'DATE': '2017-Apr-26', 'BCLR': 'N', 'HUM': '00', 'BDIST': u' \u221e ', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'C', 'FDIST': u' \u221e ', 'PITCH': 1, 'BEAR': 1, 'LMO': 'N', 'CACC': 0, 'FLED': 'G', 'BLED': 'Y', 'VOL': 'E', 'LCLR': 'N', 'TIME': '09:04:40 PM', 'LAT': '74.69334', 'ALT': '965', 'INDI': 'N', 'ROLL': 1}
